10;-0.0140;-0.9929;0.2328;-0.0031;-0.0448;-0.1273
11;-0.0142;-0.9916;0.2329;-0.0024;0.0272;-0.1197
12;-0.0161;-0.9930;0.2324;-0.0360;-0.0261;-0.0411
13;-0.0115;-0.9921;0.2343;-0.0730;-0.0188;-0.0077
14;-0.0139;-0.9917;0.2330;0.0036;0.0474;0.0011
15;-0.0134;-0.9937;0.2321;-0.0514;0.0125;0.0062
16;-0.0135;-0.9919;0.2318;-0.0471;-0.0292;0.0973
17;-0.0132;-0.9911;0.2332;-0.0199;-0.0439;-0.0083
18;-0.0143;-0.9917;0.2327;0.0257;-0.0273;0.0673
19;-0.0134;-0.9919;0.2346;-0.0326;-0.0359;-0.0567
32;-0.0135;-0.9917;0.2340;-0.0039;0.0536;0.1200
33;-0.0135;-0.9928;0.2331;-0.0371;-0.0497;-0.0269
34;-0.0143;-0.9946;0.2323;0.0368;-0.0325;0.2212
35;-0.0149;-0.9930;0.2334;-0.1115;0.0427;0.1963
36;-0.0174;-0.9919;0.2341;0.0373;0.0235;0.2334
37;-0.0148;-0.9928;0.2319;-0.0230;-0.0351;0.0391
38;-0.0145;-0.9916;0.2325;-0.0128;0.0586;-0.0655
39;-0.0135;-0.9912;0.2342;-0.0206;-0.0421;-0.0098
40;-0.0144;-0.9922;0.2327;0.0121;-0.0609;-0.0770
41;-0.0148;-0.9928;0.2353;0.0167;-0.0533;-0.1632
55;-0.0139;-0.9918;0.2322;-0.0242;0.0350;0.0566
56;-0.0150;-0.9912;0.2356;0.0210;-0.0775;0.0429
57;-0.0134;-0.9938;0.2313;-0.0169;-0.0284;-0.0174
58;-0.0148;-0.9923;0.2296;0.0421;-0.0375;-0.0182
59;-0.0136;-0.9925;0.2311;-0.0386;-0.0688;0.0215
60;-0.0160;-0.9932;0.2336;0.0925;-0.0224;-0.0938
61;-0.0144;-0.9931;0.2323;-0.0299;0.0272;-0.0693
62;-0.0150;-0.9926;0.2316;-0.0016;0.0324;-0.0434
63;-0.0146;-0.9918;0.2329;0.0404;0.1012;0.0157
76;-0.0149;-0.9928;0.2336;0.0381;0.0499;0.0444
77;-0.0136;-0.9920;0.2336;0.0427;0.1085;0.0093
78;-0.0142;-0.9926;0.2337;-0.0665;-0.0615;-0.0641
79;-0.0149;-0.9914;0.2325;0.0208;-0.0001;-0.0347
80;-0.0152;-0.9909;0.2322;0.1993;0.0194;0.0297
81;-0.0129;-0.9929;0.2320;0.0282;0.0174;0.1954
82;-0.0144;-0.9914;0.2342;-0.0260;0.0330;0.1366
83;-0.0166;-0.9928;0.2336;0.0304;0.0678;0.0116
84;-0.0156;-0.9926;0.2326;-0.0016;0.0124;-0.0640
85;-0.0148;-0.9917;0.2326;0.0778;0.0042;0.0475
99;-0.0149;-0.9933;0.2318;-0.0240;0.0164;0.0925
100;-0.0147;-0.9939;0.2288;0.0130;0.0236;-0.0411
101;-0.0132;-0.9931;0.2308;-0.0552;0.0461;0.1292
102;-0.0137;-0.9931;0.2314;-0.0644;-0.0153;0.0001
103;-0.0135;-0.9918;0.2324;0.0780;-0.0463;0.0188
104;-0.0142;-0.9937;0.2309;0.0622;-0.0191;0.0309
105;-0.0142;-0.9937;0.2325;-0.0415;0.0259;-0.0922
106;-0.0139;-0.9925;0.2327;-0.0212;-0.0084;-0.0246
107;-0.0142;-0.9920;0.2305;0.0816;0.0045;-0.0571
120;-0.0124;-0.9915;0.2312;-0.0593;-0.0698;0.0696
121;-0.0155;-0.9928;0.2314;-0.0149;0.0205;-0.0495
122;-0.0131;-0.9924;0.2318;-0.0251;-0.0093;0.0513
123;-0.0145;-0.9936;0.2327;-0.0259;-0.0294;0.0146
124;-0.0125;-0.9917;0.2311;0.0633;0.0154;-0.0991
125;-0.0144;-0.9923;0.2304;0.0717;0.0802;-0.0556
126;-0.0127;-0.9914;0.2305;-0.0062;-0.0180;0.0452
127;-0.0141;-0.9949;0.2317;-0.0482;-0.0381;0.0768
128;-0.0133;-0.9926;0.2318;-0.0383;0.0823;-0.0243
129;-0.0134;-0.9936;0.2317;0.0824;-0.0577;0.1453
142;-0.1758;-0.9364;0.2158;-31.0256;-14.1315;20.1293
143;-0.2103;-0.9129;0.1552;-3.0573;-10.2238;107.2528
144;-0.2145;-0.8609;0.1415;4.7438;-9.5720;43.8410
145;-0.4152;-0.9081;0.2126;15.7838;-3.9513;38.8012
146;-0.4114;-0.9194;0.2060;12.0717;-2.8520;26.4681
147;-0.4652;-0.8786;0.2199;19.1656;0.7761;-12.2670
148;-0.4641;-0.9002;0.2536;0.1556;1.6859;-3.9441
